시도,시군,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3
강원도,인제군,한식_면류,인제칼국수,033-461-4662,강원도강원도 인제군 인제읍 비봉로5번길 7-1,멸치칼국수,7000,닭볶음탕,40000,_,0
강원도,인제군,한식_일반,다둥이네,033-462-8787,강원도강원도 인제군 서화면 천도로 144-2,삼결살(200g),13000,순대볶음,10000,_,0
강원도,인제군,한식_면류,숙칼국수,033-462-3006,강원도인제군강원도 인제군 기린면 기린로 54,닭칼국수,7000,바지락칼국수,7000,_,0
강원도,인제군,기타양식,카페루체,033-462-5667,강원도인제군강원도 인제군 서화면 천도촌1길 2,아메리카노,2500,고구마라떼,3500,_,0
강원도,인제군,한식_일반,백합식당,033-461-1261,강원도인제군강원도 인제군 남면 신풍길 48,오리구이(한마리),60000,염소전골(200g),17000,_,0
강원도,인제군,한식_일반,뚝배기집식당,033-461-6272,강원도인제군강원도 인제군 남면 신남로 58번길 21-1,닭볶음탕,50000,감자탕(大),30000,_,0
충청북도,보은군,한식_일반,정이품식당,043-543-3995,충청북도보은군충청북도 보은군 속리산면 법주사로 273,돌솥비빔밥,10000,된장찌개(백반),9000,산채비빔밥,9000
충청북도,보은군,한식_일반,팔도식당,043-544-2531,충청북도보은군충청북도 보은군 속리산면 법주사로 262,돌솥비빔밥,11000,산채비빔밥,9000,올갱이해장국,9000
충청북도,보은군,한식_일반,초가집가든,043-543-2859,충청북도보은군충청북도 보은군 회인면 보청대로3876,오리백숙,45000,닭백숙,40000,오리주물럭,40000
강원도,삼척시,한식_일반,맹가네해물찜,033-541-5959,강원도삼척시강원도 삼척시 도계읍 도계로4길 16-6,뚜구리탕,7000,감자옹심이,6000,_,0
충청북도,음성군,한식_일반,국화식당,043-883-0530,충청북도음성군감곡면 장감로 132번길 29,김치찌개,6000,동태찌개,6000,_,0
충청북도,음성군,한식_일반,천진동만두버섯전골,043-878-4335,충청북도음성군금왕읍 대금로 1495,만두전골(3인분),27000,_,0,_,0
충청북도,음성군,한식_일반,토종마을,043-881-9611,충청북도음성군감곡면 장감로 132번길 19-2,돼지국밥,4000,_,0,_,0
충청북도,음성군,한식_일반,감곡식당,043-881-3777,충청북도음성군감곡면 장감로 160,칼국수,5000,콩국수,5000,_,0
충청북도,음성군,한식_육류,왕장정육식당,043-881-3339,충청북도음성군감곡면 장감로 132번길6,삼겹살(200g),13000,냉면,5000,_,0
강원도,태백시,한식_일반,맛있는치킨,033-552-9982,"강원도태백시강원도 태백시 해지개길 24, 205호",후라이드치킨,15000,양념치킨,16000,순살후라이드치킨,17000
강원도,태백시,한식_일반,인삼닭갈비,033-553-3096,강원도태백시강원도 태백시 새시장길 14,인삼닭갈비,9000,안동찜닭(대),25000,_,0
강원도,철원군,기타양식,커피3000,없음,"강원도철원군갈말읍 드르니길 119,29",아메리카노,3000,만두,5000,_,0
경상남도,김해시,한식_면류,점이국수,055-339-4802,경상남도김해시김해시 활천로255번길 20-11,멸치국수,4500,고기국수,6500,_,0
경상남도,김해시,한식_일반,골목아구찜,055-333-8816,경상남도김해시김해시 김해대로 2385번길 25-1,아구찜(소),25000,추어탕,7000,_,0
경상남도,김해시,기타양식,공예카페 블루밍,055-324-4264,"경상남도김해시김해시 분성로 294, 102호",야채토스트,2500,에이드,3000,_,0
경상남도,김해시,중식,공원반점,055-333-9676,경상남도김해시김해시 봉황대안길 35,자장면,5000,짬뽕,6500,_,0
경상남도,김해시,한식_면류,별미국수,055-331-1900,경상남도김해시김해시 삼계로69번길 22-23,멸치국수,5500,비빔국수,6000,칼국수,6000
경상남도,김해시,한식_면류,영국수,055-323-2174,"경상남도김해시김해시 진영읍 하계로 375-17, 1층",반반국수,6000,비빔밥+강된장,6000,_,0
경상남도,김해시,한식_일반,고향밥상,327-0506,경상남도김해시김해시 내덕로86번길 7,한식뷔페,6000,_,0,_,0
경상남도,김해시,한식_일반,삼문곰탕,055-312-5909,"경상남도김해시김해시 능동로37번길 7-14, 1층",곰탕,10000,순대국밥,7000,돼지국밥,7000
경상남도,김해시,한식_면류,김해 멸치국수,055-326-1233,"경상남도김해시김해시 내외로 77번길 8, 101호",멸치국수,4500,밀면,5500,선지국밥,6000
전라남도,진도군,한식_일반,백반나라,061-544-6550,전라남도진도군전라남도 진도군 진도읍 남동1길 6-1,백반,8000,애호박찌개,8000,김치찌개,8000
전라남도,진도군,한식_일반,옥향식당,061-544-2061,전라남도진도군전라남도 진도군 진도읍 남동1길 6-1,설렁탕,8000,백반,8000,애호박국밥,8000
전라남도,진도군,한식_일반,대성국밥식당,061-542-3990,전라남도진도군전라남도 진도군 진도읍 교동3길 43,돼지국밥,7000,내장국밥,8000,콩나물국밥,8000
경상남도,김해시,한식_면류,외가국수,055-329-0091,"경상남도김해시김해시 경원로9, A동",잔치국수,4500,칼국수,5000,_,0
경상남도,김해시,기타양식,카페샤론,055-322-8278,"경상남도김해시김해시 삼안로 309, 가야청 105-2호",아메리카노,2000,복숭아아이스티,2000,_,0
경상남도,김해시,한식_면류,사리원밀면,055-322-1661,경상남도김해시김해시 삼안로255번길 16,밀면,6500,칼국수,6000,팥칼국수,7000
경상남도,김해시,한식_일반,한우선지국밥,_,경상남도김해시김해시 삼안로 195번길 36,선지국밥,6000,선지국수,6000,_,0
전라남도,진도군,한식_육류,아리랑화로 숯불갈비,061-544-6000,전라남도진도군전라남도 진도군 진도읍 교동5길 13,양념갈비,13000,오돌갈비,13000,_,0
전라남도,진도군,한식_일반,협동팥죽,_,전라남도진도군전라남도 진도군 진도읍 쌍정2길 26,팥칼국수,8000,바지락칼국수,8000,_,0
전라남도,진도군,양식,쿡수,061-544-5508,전라남도진도군전라남도 진도군 진도읍 남동1길 40-8,돈까스,8000,치킨까스,8000,김치볶음밥,8000
부산광역시,북구,한식_육류,합천왕갈비,051-343-1155,부산광역시북구부산광역시 북구 만덕1로35-2(만덕동),왕갈비,8000,생삼겹,8000,식사류,7000
부산광역시,북구,한식_면류,신가야밀면,051-338-9898,부산광역시북구부산광역시 북구 만덕2로44번길40,물밀면,7000,비빔밀면,7000,_,0
경기도,하남시,한식_기타,꽈배기와 동그리,031-0000-0000,"경기도하남시경기도 하남시 하남대로 783번길 28, 1층",꽈배기,500,도너츠,500,팥도너츠,500
강원도,강릉시,한식_일반,스마일식당,033645-6888,강원도강릉시경강로2255번길 7,백반,7000,오징어볶음,8000,_,0
강원도,강릉시,한식_일반,빨강돈가스,_,강원도강릉시지변길49,돈가스,6900,김치볶음밥,5000,_,0
강원도,강릉시,양식,미트볼하우스 초당점,033653-6009,강원도강릉시난설헌로203-18,베사멜크림볼파스타,13500,토마토미트볼스튜파스타,13500,로제미트볼파스타,13500
강원도,강릉시,한식_기타,카페리안,033651-7211,강원도강릉시지변길22,아메리카노,2000,카라멜마끼아또,3500,바닐라라떼,3500
강원도,강릉시,한식_기타,로그엠,033645-5045,강원도강릉시화부산로 35-2,에스프레소,3000,아메리카노,3000,생강차,4500
울산광역시,남구,한식_일반,삼시세끼만포장,052-223-7847,울산광역시남구울산광역시 남구 대학로 145번길 25,정식,8000,된장찌개,8000,김치찌개,8000
울산광역시,남구,한식_일반,모두랑국수먹는날,052-260-2411,울산광역시남구울산광역시 남구 수암로 54번길 17,국수,5000,비빔국수,6000,냉국수,5000
울산광역시,남구,한식_일반,태화강낙지볶음,052-277-1428,울산광역시남구울산광역시 남구 북부순환도로 13번길 6-9,낙지볶음,8000,부대찌개,7000,낙지전골,10000
울산광역시,남구,한식_일반,경북식당,052-267-7855,울산광역시남구울산광역시 남구 돋질로 145번길 38-25,정식,7000,된장찌개,7000,김치찌개,7000
울산광역시,남구,한식_일반,삼산24시두루치기,052-932-9797,울산광역시남구울산광역시 남구 삼산중로 16,정식,7000,된장찌개,7000,순두부찌개,7000
울산광역시,남구,한식_일반,든든한끼,052-273-1569,울산광역시남구울산광역시 남구 거마로 134번길 13,비빔밥,8000,육회비빔밥,10000,_,0
울산광역시,남구,한식_일반,상황삼계탕,052-275-9997,울산광역시남구울산광역시 남구 수암로 40번길 22-23,삼계탕,10000,고디탕,7000,오리불고기,27000
강원도,정선군,한식_일반,최가네버섯돌이,_,강원도정선군강원도 정선군 정선읍 비봉로 14,우렁제육쌈밥,9000,불고기뚝배기,9000,_,0
강원도,정선군,한식_일반,초원의집,_,강원도정선군강원도 정선군 신동읍 새골길 8-1,삼겹살,14000,닭볶음탕,40000,_,0
강원도,정선군,한식_일반,사북짜글이,_,강원도정선군강원도 정선군 사북읍 사북중앙로 40,곱창전골,6000,동태알탕,11000,_,0
강원도,정선군,한식_일반,우정식당,_,강원도정선군강원도 정선군 고한읍 고한2길 67,돼지모듬구이,35000,갈비탕,11000,_,0
강원도,정선군,한식_일반,맛집장금이네,_,강원도정선군강원도 정선군 고한읍 고한4길 58-9,된장찌개,8000,오삼불고기,15000,_,0
강원도,정선군,한식_일반,창신동용족발,_,강원도정선군강원도 정선군 고한읍 고한2길 62,족발(대),35000,_,0,_,0
부산광역시,동래구,한식_기타,옛날 팥빙수,051-502-9440,부산광역시동래구부산광역시 동래구 아시아드대로 161(사직동),팥빙수,4000,녹차팥빙수,4500,단팥죽,4000
부산광역시,동래구,한식_일반,다보랑김밥분식,051-556-6678,부산광역시동래구부산광역시 동래구 명륜로 112번길 23(명륜동),김밥,2000,수제비,5000,순두부백반,5500
경상남도,사천시,한식_면류,정의칼국수,055-852-8236,경상남도사천시경상남도 사천시 사천읍 시장1길 16,국수,5000,_,0,_,0
경상남도,사천시,한식_면류,대박국수,055-855-3030,경상남도사천시경상남도 사천시 사천읍 새시장길 16-10,국수,5000,_,0,_,0
전라남도,장흥군,한식_일반,백광식당,061-863-5413,전라남도장흥군전라남도 장흥군 장흥읍 토요시장1길 53,백반,6000,칼국수,7000,팥죽,7000
전라남도,장흥군,한식_일반,짱구식당,061-863-9008,전라남도장흥군전라남도 장흥군 장흥읍 중앙로 34-2,돈가스,7000,돌솥비빔밥,7000,순두부찌개,7000
전라남도,목포시,중식,경남식당(글사랑반점),061-272-8111,전라남도목포시목포시 산대로2번길 3-2,짜장,5000,짬뽕,7000,볶음밥,7000
전라남도,목포시,한식_기타,일로순대,061-243-9424,전라남도목포시목포시 삼일로13번길 4,순대,8000,국밥,8000,_,0
전라남도,목포시,한식_일반,톳빔,0507-1465-7619,전라남도목포시목포시 옥암로96번길 3,톳비빔밥,10000,톳육개장,11000,_,0
전라남도,목포시,한식_기타,돈내고 돈먹기,061-242-3737,전라남도목포시목포시 영산로 18-4(대의동 2가),짱뚱어탕,10000,김치찌개,8000,_,0
전라남도,목포시,한식_기타,남도먹거리방,061-242-9875,전라남도목포시목포시 삼일로13번길 2-1,순대,8000,순대국밥,8000,_,0
전라남도,목포시,한식_해산물,유달아구찜,061-242-1535,"전라남도목포시목포시 해안로 201, 성진드림상가 101호",아구탕,10000,아구찜,10000,_,0
전라남도,목포시,한식_분식,옛날짜장,061-270-1872,전라남도목포시목포시 산정로 120-1,옛날짜장,5500,잔치국수,5500,_,0
전라남도,목포시,한식_일반,유달산추어탕,061-270-7030,전라남도목포시목포시 노적봉길 22-1,추어탕,8000,된장찌개,7000,_,0
전라남도,목포시,한식_일반,예향밥상,061-247-8989,"전라남도목포시목포시 수문로20번길 7-3, 1층",한식뷔페,6000,_,0,_,0
서울특별시,도봉구,기타양식,폼폼커피베이비,_,서울특별시도봉구도봉로164길8(도봉동),아메리카노,2000,카페모카,3500,카페라떼,3000
서울특별시,도봉구,한식_일반,북부식당,_,서울특별시도봉구도봉로152가길102(도봉동),소고기우거지국밥,7000,떡국,7000,삼겹살,14000
서울특별시,도봉구,중식,향원,_,"서울특별시도봉구덕릉로59길62,101호(창동)",짬뽕,6000,탕수육,15000,_,0
서울특별시,도봉구,한식_찌개류,다온,_,서울특별시도봉구도당로13길34-21 (방학동),비빔밥,7000,김치찌개,7000,된장찌개,7000
전라북도,김제시,한식_분식,신당동옛날떡볶이,063-544-7973,전라북도김제시동서로 182,떡볶이1인분,5000,_,0,_,0
전라북도,김제시,한식_일반,미가옥,063-544-8080,전라북도김제시검산택지1길 11-22,콩나물국밥,6000,오징어숙회,7000,시레기국밥,7000
전라북도,김제시,중식,영광짬뽕,0507-0090-6688,전라북도김제시화동길 98,짜장,5000,짜장밥,6000,간짜장,6000
부산광역시,부산진구,한식_일반,엄마손팥칼국수,051-805-6343,부산광역시부산진구동평로44번길 62-14(당감동),팥칼국수,8000,보리밥,7000,새알미역국,8000
부산광역시,부산진구,한식_일반,논두렁,051-808-1966,"부산광역시부산진구연지로 24, 1층(연지동)",야채만두,9000,보리밥,8000,들깨칼국수,8000
부산광역시,부산진구,한식_면류,부잣집밀면,051-867-0125,부산광역시부산진구새싹로8번길 32(부전동),물밀면,5500,비빔밀면,6000,소고기국밥,4500
부산광역시,부산진구,한식_일반,초원곰탕,051-803-6652,"부산광역시부산진구부전로152번길 55, 1층(부전동)",곰탕(경로우대),7000,곰탕,8000,갈비탕,13000
부산광역시,부산진구,한식_분식,분식휴게소,051-891-7009,"부산광역시부산진구냉정로 225, 1층(개금동)",김치찌개,6000,된장찌개,6000,김밥,2500
부산광역시,부산진구,기타양식,온타임,0507-1354-1469,부산광역시부산진구동성로 117(전포동),아메리카노,1500,플레인베이글,2500,베이글칩,2000
부산광역시,부산진구,중식,옛날짜장,051-816-7989,부산광역시부산진구중앙대로755번길 28(부전동),짜장면,2500,짬뽕,4000,탕수육,7000
부산광역시,부산진구,한식_일반,부전소머리곰탕,051-809-7676,부산광역시부산진구가야대로765번길 23(부전동),소머리곰탕,8500,육회비빔밥,8500,살코기곰탕,8500
부산광역시,부산진구,한식_한정식,삼삼오오,051-898-0010,부산광역시부산진구동평로 29(당감동),동태탕,8000,보쌈정식,8000,육전메밀막국수,9000
부산광역시,부산진구,한식_한정식,장고방,051-898-2488,부산광역시부산진구백양순환로 44-1(당감동),황태구이,10000,황태탕,9000,정어탕,10000
부산광역시,부산진구,한식_일반,황금이네,051-808-2707,부산광역시부산진구백양순환로 149-1(부암동),국수,4500,콩나물해장국,5000,된장찌개,7000
부산광역시,부산진구,한식_찌개류,동두천부대찌개,051-898-0279,부산광역시부산진구당감로 34번길 11(당감동),부대찌개,8000,해물부대찌개,10000,_,0
광주광역시,북구,한식_일반,부흥식당,062-525-2785,광주광역시북구중가로 86,가정식백반,7000,비빔밥,8000,_,0
광주광역시,북구,한식_일반,다원,062-266-1648,광주광역시북구설죽로202번길 98,김치찌개,5500,순두부찌개,5500,돌솥비빔밥,5500
광주광역시,북구,한식_분식,뽀글이와 둘둘이,062-511-3244,광주광역시북구설죽로202번길 98,김밥,2000,라면,3000,우동,3000
광주광역시,북구,한식_일반,수진식당,062-528-8251,광주광역시북구설죽로214번길 90,비빔밥,5000,김치찌개,5000,순두부찌개,5000
광주광역시,북구,중식,착한중식당,0507-1380-3401,광주광역시북구우치로 72 (중흥동),짜장면,4900,짬뽕,6900,탕수육(大),17000
광주광역시,북구,한식_일반,천지연,062-522-9210,광주광역시북구설죽로214번길90,비빔밥,3000,김치찌개,3500,순두부찌개,3500
광주광역시,북구,한식_일반,통큰돈까스,062-413-1610,"광주광역시북구우치로 104-3, 2층(용봉동)",통큰돈까스,8000,비빔밥,6000,순두부찌개,6500
부산광역시,부산진구,한식_면류,정성담은,051-643-0074,부산광역시부산진구범일로 148(범천동),칼국수,6000,낙지파전,8000,맛보기수육(250g),9000
